Year,Week,Member State,Feed Price (€/Tonne),Category,Cattle Price
2021,6,Ireland,212.0,Heifers,377.8
2021,6,Ireland,212.0,Heifers,369.4
2021,6,Ireland,212.0,Heifers,395.82
2021,6,Ireland,212.0,Heifers,349.43
2021,6,France,212.01,Heifers,322.0
2021,6,France,212.01,Heifers,317.0
2021,6,France,212.01,Heifers,312.0
2021,6,Ireland,212.0,Young cattle,370.38
2021,6,Ireland,212.0,Heifers,368.85
2021,6,Ireland,212.0,Young cattle,372.14
2021,7,France,213.34,Steers,275.0
2021,7,France,213.34,Steers,315.0
2021,7,Ireland,213.0,Steers,358.11
2021,7,Ireland,213.0,Steers,360.32
2021,7,Ireland,213.0,Steers,375.06
2021,7,Ireland,213.0,Steers,375.44
2021,7,France,213.34,Steers,377.0
2021,7,Ireland,213.0,Steers,383.72
2021,7,Ireland,213.0,Steers,383.44
2021,7,Ireland,213.0,Steers,385.41
2021,7,France,213.34,Steers,401.0
2021,7,Ireland,213.0,Young cattle,391.27
2021,7,Ireland,213.0,Young cattle,377.37
2021,7,Ireland,213.0,Young cattle,362.79
2021,7,Ireland,213.0,Young cattle,352.44
2021,7,Ireland,213.0,Young cattle,324.25
2021,7,France,213.34,Calves slaughtered <8M,585.0
2021,7,France,213.34,Heifers,329.0
2021,7,Ireland,213.0,Young bulls,340.37
2021,7,France,213.34,Heifers,452.0
2021,7,Ireland,213.0,Young bulls,370.52
2021,7,France,213.34,Cows,323.0
2021,7,France,213.34,Young bulls,387.0
2021,7,France,213.34,Young bulls,405.0
2021,7,Ireland,213.0,Cows,312.86
2021,7,France,213.34,Heifers,456.0
2021,7,France,213.34,Heifers,407.0
2021,7,Ireland,213.0,Heifers,395.13
2021,7,Ireland,213.0,Heifers,392.72
2021,7,France,213.34,Heifers,390.0
2021,7,Ireland,213.0,Heifers,389.77
2021,7,Ireland,213.0,Heifers,379.53
2021,7,Ireland,213.0,Heifers,378.59
2021,7,France,213.34,Heifers,377.0
2021,7,Ireland,213.0,Heifers,373.01
2021,7,Ireland,213.0,Heifers,363.95
2021,7,Ireland,213.0,Heifers,362.77
2021,7,France,213.34,Cows,395.0
2021,7,France,213.34,Cows,365.0
2021,7,France,213.34,Young bulls,369.0
2021,7,Ireland,213.0,Young bulls,367.56
2021,7,France,213.34,Young bulls,377.0
2021,7,Ireland,213.0,Young bulls,354.33
2021,7,Ireland,213.0,Bulls,284.65
2021,7,France,213.34,Bulls,299.0
2021,7,France,213.34,Cows,257.0
2021,7,Ireland,213.0,Cows,261.05
2021,7,France,213.34,Cows,275.0
2021,7,Ireland,213.0,Cows,279.73
2021,7,France,213.34,Cows,282.0
2021,7,Ireland,213.0,Cows,287.74
2021,7,Ireland,213.0,Cows,292.11
2021,7,France,213.34,Heifers,323.0
2021,7,Ireland,213.0,Young bulls,356.25
2021,7,Ireland,213.0,Cows,314.08
2021,7,France,213.34,Young bulls,323.0
2021,7,Ireland,213.0,Heifers,344.92
2021,7,Ireland,213.0,Young bulls,339.39
2021,7,France,213.34,Heifers,314.0
2021,7,Ireland,213.0,Cows,294.84
2021,7,France,213.34,Cows,305.0
2021,7,France,213.34,Young bulls,328.0
2021,8,Ireland,212.0,Cows,293.49
2021,8,Ireland,212.0,Cows,291.85
2021,8,France,217.01,Heifers,310.0
2021,8,Ireland,212.0,Heifers,373.4
2021,8,France,217.01,Heifers,314.0
2021,8,France,217.01,Heifers,329.0
2021,8,Ireland,212.0,Heifers,348.22
2021,8,Ireland,212.0,Heifers,363.73
2021,8,Ireland,212.0,Heifers,365.24
2021,8,France,217.01,Heifers,378.0
2021,8,France,217.01,Cows,259.0
2021,8,Ireland,212.0,Cows,295.22
2021,8,France,217.01,Steers,275.0
2021,8,France,217.01,Steers,316.0
2021,8,Ireland,212.0,Steers,358.74
2021,8,Ireland,212.0,Steers,360.91
2021,8,France,217.01,Steers,368.0
2021,8,Ireland,212.0,Steers,374.33
2021,8,Ireland,212.0,Steers,375.32
2021,8,Ireland,212.0,Steers,382.28
2021,8,Ireland,212.0,Steers,385.81
2021,8,Ireland,212.0,Steers,385.87
2021,8,France,217.01,Heifers,459.0
2021,8,France,217.01,Heifers,458.0
2021,8,France,217.01,Heifers,409.0
2021,8,Ireland,212.0,Heifers,392.98
2021,8,Ireland,212.0,Heifers,391.79
2021,8,France,217.01,Heifers,390.0
2021,8,Ireland,212.0,Heifers,389.52
2021,8,Ireland,212.0,Heifers,379.17
2021,8,Ireland,212.0,Heifers,378.97
2021,8,France,217.01,Calves slaughtered <8M,594.0
2021,8,France,217.01,Cows,307.0
2021,8,France,217.01,Steers,300.0
2021,8,Ireland,212.0,Cows,319.37
2021,8,Ireland,212.0,Young bulls,369.03
2021,8,France,217.01,Young bulls,371.0
2021,8,Ireland,212.0,Young bulls,372.09
2021,8,France,217.01,Young bulls,378.0
2021,8,France,217.01,Young bulls,388.0
