Domain Code,Domain,Reporter Country Code (M49),Reporter Countries,Partner Country Code (M49),Partner Countries,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","380","Italy","528","Netherlands","5922","Export Value","F0875","beef and veal preparations nes","1989","1989","1000 US$","170","A","Official figure"
"TM","Detailed trade matrix","380","Italy","528","Netherlands","5922","Export Value","F0875","beef and veal preparations nes","1990","1990","1000 US$","267","A","Official figure"
"TM","Detailed trade matrix","380","Italy","528","Netherlands","5922","Export Value","F0875","beef and veal preparations nes","1991","1991","1000 US$","87","A","Official figure"
"TM","Detailed trade matrix","380","Italy","528","Netherlands","5922","Export Value","F0875","beef and veal preparations nes","1992","1992","1000 US$","34","A","Official figure"
"TM","Detailed trade matrix","380","Italy","528","Netherlands","5922","Export Value","F0875","beef and veal preparations nes","1993","1993","1000 US$","22","A","Official figure"
"TM","Detailed trade matrix","380","Italy","528","Netherlands","5922","Export Value","F0875","beef and veal preparations nes","1994","1994","1000 US$","31","A","Official figure"
"TM","Detailed trade matrix","380","Italy","528","Netherlands","5922","Export Value","F0875","beef and veal preparations nes","1995","1995","1000 US$","1107","A","Official figure"
"TM","Detailed trade matrix","380","Italy","528","Netherlands","5922","Export Value","F0875","beef and veal preparations nes","1996","1996","1000 US$","1321","A","Official figure"
"TM","Detailed trade matrix","380","Italy","528","Netherlands","5922","Export Value","F0875","beef and veal preparations nes","1997","1997","1000 US$","156","A","Official figure"
"TM","Detailed trade matrix","380","Italy","528","Netherlands","5922","Export Value","F0875","beef and veal preparations nes","1998","1998","1000 US$","6","A","Official figure"
"TM","Detailed trade matrix","380","Italy","528","Netherlands","5922","Export Value","F0875","beef and veal preparations nes","1999","1999","1000 US$","15","A","Official figure"
"TM","Detailed trade matrix","380","Italy","528","Netherlands","5922","Export Value","F0875","beef and veal preparations nes","2000","2000","1000 US$","10","A","Official figure"
"TM","Detailed trade matrix","380","Italy","528","Netherlands","5922","Export Value","F0875","beef and veal preparations nes","2001","2001","1000 US$","19","A","Official figure"
"TM","Detailed trade matrix","380","Italy","528","Netherlands","5922","Export Value","F0875","beef and veal preparations nes","2002","2002","1000 US$","18","A","Official figure"
"TM","Detailed trade matrix","380","Italy","528","Netherlands","5922","Export Value","F0875","beef and veal preparations nes","2003","2003","1000 US$","26","A","Official figure"
"TM","Detailed trade matrix","380","Italy","528","Netherlands","5922","Export Value","F0875","beef and veal preparations nes","2004","2004","1000 US$","58","A","Official figure"
"TM","Detailed trade matrix","380","Italy","528","Netherlands","5922","Export Value","F0875","beef and veal preparations nes","2005","2005","1000 US$","54","A","Official figure"
"TM","Detailed trade matrix","380","Italy","528","Netherlands","5922","Export Value","F0875","beef and veal preparations nes","2006","2006","1000 US$","142","A","Official figure"
"TM","Detailed trade matrix","380","Italy","528","Netherlands","5922","Export Value","F0875","beef and veal preparations nes","2007","2007","1000 US$","93","A","Official figure"
"TM","Detailed trade matrix","380","Italy","528","Netherlands","5922","Export Value","F0875","beef and veal preparations nes","2008","2008","1000 US$","277","A","Official figure"
"TM","Detailed trade matrix","380","Italy","528","Netherlands","5922","Export Value","F0875","beef and veal preparations nes","2009","2009","1000 US$","545","A","Official figure"
"TM","Detailed trade matrix","380","Italy","528","Netherlands","5922","Export Value","F0875","beef and veal preparations nes","2010","2010","1000 US$","25","A","Official figure"
"TM","Detailed trade matrix","380","Italy","528","Netherlands","5922","Export Value","F0875","beef and veal preparations nes","2011","2011","1000 US$","43","A","Official figure"
"TM","Detailed trade matrix","380","Italy","528","Netherlands","5922","Export Value","F0875","beef and veal preparations nes","2012","2012","1000 US$","238","A","Official figure"
"TM","Detailed trade matrix","380","Italy","528","Netherlands","5922","Export Value","F0875","beef and veal preparations nes","2013","2013","1000 US$","411","A","Official figure"
"TM","Detailed trade matrix","380","Italy","528","Netherlands","5922","Export Value","F0875","beef and veal preparations nes","2014","2014","1000 US$","1034","A","Official figure"
"TM","Detailed trade matrix","380","Italy","528","Netherlands","5922","Export Value","F0875","beef and veal preparations nes","2015","2015","1000 US$","381","A","Official figure"
"TM","Detailed trade matrix","380","Italy","528","Netherlands","5922","Export Value","F0875","beef and veal preparations nes","2016","2016","1000 US$","285","A","Official figure"
"TM","Detailed trade matrix","380","Italy","528","Netherlands","5922","Export Value","F0875","beef and veal preparations nes","2017","2017","1000 US$","250","A","Official figure"
"TM","Detailed trade matrix","380","Italy","528","Netherlands","5922","Export Value","F0875","beef and veal preparations nes","2018","2018","1000 US$","359","A","Official figure"
"TM","Detailed trade matrix","380","Italy","528","Netherlands","5922","Export Value","F0875","beef and veal preparations nes","2019","2019","1000 US$","351","A","Official figure"
"TM","Detailed trade matrix","380","Italy","528","Netherlands","5922","Export Value","F0875","beef and veal preparations nes","2020","2020","1000 US$","186","A","Official figure"
"TM","Detailed trade matrix","528","Netherlands","250","France","5610","Import Quantity","F0875","beef and veal preparations nes","1986","1986","tonnes","19","A","Official figure"
"TM","Detailed trade matrix","528","Netherlands","250","France","5610","Import Quantity","F0875","beef and veal preparations nes","1987","1987","tonnes","33","A","Official figure"
"TM","Detailed trade matrix","528","Netherlands","250","France","5610","Import Quantity","F0875","beef and veal preparations nes","1988","1988","tonnes","67","A","Official figure"
"TM","Detailed trade matrix","528","Netherlands","250","France","5610","Import Quantity","F0875","beef and veal preparations nes","1989","1989","tonnes","88","A","Official figure"
"TM","Detailed trade matrix","528","Netherlands","250","France","5610","Import Quantity","F0875","beef and veal preparations nes","1990","1990","tonnes","18","A","Official figure"
"TM","Detailed trade matrix","528","Netherlands","250","France","5610","Import Quantity","F0875","beef and veal preparations nes","1991","1991","tonnes","1","A","Official figure"
